WASHINGTON,WASHINGTON_DC,511,"Washington, DC",39.127683,-77.903685,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.414892,38.104723,0 -76.430273,38.119652,0 -76.441665,38.150634,0 -76.405974,38.161599,0 -76.409803,38.173449,0 -76.450779,38.211949,0 -76.463652,38.128508,0 -76.505151,38.170098,0 -76.530035,38.134047,0 -76.556697,38.210485,0 -76.686243,38.232695,0 -76.62905,38.260909,0 -76.627545,38.28448,0 -76.71947,38.232835,0 -76.699778,38.284845,0 -76.722888,38.311847,0 -76.778095,38.22788,0 -76.801787,38.358321,0 -76.917873,38.393067,0 -76.833671,38.273556,0 -77.014716,38.35925,0 -77.071622,38.308164,0 -76.963288,38.258296,0 -77.012292,38.199057,0 -76.770184,38.167478,0 -76.732117,38.097993,0 -76.701067,38.160019,0 -76.652372,38.096172,0 -76.643947,38.148073,0 -76.610587,38.148913,0 -76.521202,38.0449,0 -76.639249,37.96554,0 -76.876937,38.124448,0 -77.030094,38.090733,0 -77.061696,38.161631,0 -77.340436,38.25274,0 -77.659318,37.992033,0 -77.954818,38.117437,0 -77.710659,38.366454,0 -77.892404,38.389009,0 -78.105333,38.31255,0 -78.122857,38.440123,0 -78.33832,38.627282,0 -78.486004,38.421487,0 -78.548271,38.426225,0 -78.691313,38.510008,0 -78.641769,38.604719,0 -78.99376,38.850048,0 -79.057253,38.761414,0 -79.357667,38.964509,0 -79.305466,39.208006,0 -79.467474,39.178807,0 -79.486873,39.205961,0 -79.111434,39.431176,0 -78.931177,39.722775,0 -78.380335,39.722689,0 -78.134262,40.165482,0 -77.860725,40.061792,0 -77.671762,40.289826,0 -77.453969,39.972674,0 -77.459426,39.720028,0 -77.216807,39.719998,0 -77.311372,39.63952,0 -77.106831,39.491677,0 -77.167933,39.312778,0 -76.699065,38.983588,0 -76.697158,38.750116,0 -76.528607,38.712763,0 -76.509511,38.511799,0 -76.380595,38.384486,0 -76.421355,38.318882,0 -76.484016,38.329402,0 -76.482245,38.442587,0 -76.50805,38.389332,0 -76.646054,38.467499,0 -76.670938,38.617877,0 -76.702845,38.499266,0 -76.512587,38.323206,0 -76.373422,38.297479,0 -76.321851,38.036362,0 -76.414892,38.104723,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.842706,38.254847,0 -76.849661,38.257905,0 -76.864846,38.270205,0 -76.840263,38.263921,0 -76.842706,38.254847,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.474251,38.102428,0 -76.481036,38.115873,0 -76.498808,38.134138,0 -76.498259,38.136084,0 -76.470166,38.119264,0 -76.474251,38.102428,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",92
SAN_DIEGO,SAN_DIEGO_CA,825,"San Diego, CA",33.019591,-116.838334,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.106181,32.618592,0 -117.124863,32.534157,0 -117.226942,32.697666,0 -117.105203,32.602918,0 -117.116081,32.674124,0 -117.178309,32.727423,0 -117.256056,32.697976,0 -117.186139,32.762073,0 -117.253119,32.75926,0 -117.280763,32.822265,0 -117.325144,33.115194,0 -117.595398,33.38612,0 -117.579862,33.453624,0 -117.364228,33.505026,0 -117.241271,33.4318,0 -116.085165,33.425933,0 -116.106181,32.618592,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-117.216583,32.767,0 -117.211144,32.768589,0 -117.215341,32.789863,0 -117.229383,32.771016,0 -117.216583,32.767,0</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-117.238898,32.770929,0 -117.232845,32.77362,0 -117.232195,32.778912,0 -117.242366,32.776204,0 -117.238898,32.770929,0</coordinates></LinearRing></innerBoundaryIs></Polygon>",27
MONTEREY-SALINAS,MONTEREY-SALINAS_CA,828,"Monterey-Salinas, CA",36.537613,-121.265832,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.347321,35.79519,0 -121.675769,36.16346,0 -121.902727,36.306108,0 -121.978592,36.580488,0 -121.814498,36.682744,0 -121.78835,36.804828,0 -121.863125,36.932344,0 -122.153179,36.976151,0 -122.317684,37.186946,0 -122.15283,37.215382,0 -122.153235,37.27675,0 -122.149648,37.285775,0 -121.575049,36.894155,0 -121.48895,36.983149,0 -121.214537,36.961248,0 -121.141523,36.836658,0 -120.597156,36.488236,0 -120.667552,36.138058,0 -120.263682,35.896613,0 -120.21398,35.789277,0 -121.347321,35.79519,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.717299,37.011589,0 -121.717495,37.011682,0 -121.717742,37.012602,0 -121.716718,37.012023,0 -121.717299,37.011589,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",26
SACRAMNTO-STKTN-MODESTO,SACRAMNTO-STKTN-MODESTO_CA,862,"Sacramnto-Stktn-Modesto, CA",38.790109,-120.990546,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.884464,38.047766,0 -121.91222,38.084491,0 -122.013139,38.089568,0 -121.983725,38.114069,0 -121.999814,38.140585,0 -122.215591,38.179349,0 -122.206406,38.315136,0 -122.061448,38.328852,0 -122.139948,38.60989,0 -122.287999,38.839932,0 -122.42209,38.900851,0 -122.340172,38.924247,0 -122.492035,39.053489,0 -122.475923,39.172998,0 -122.67973,39.22453,0 -122.784711,39.382478,0 -122.008857,39.413568,0 -121.888956,39.383086,0 -121.908305,39.30391,0 -121.406543,39.340067,0 -121.30512,39.519586,0 -121.159122,39.519482,0 -121.076697,39.597264,0 -121.429957,39.900314,0 -121.366819,40.086055,0 -121.444102,40.190735,0 -121.342264,40.309751,0 -121.473095,40.352505,0 -121.497636,40.445592,0 -121.061417,40.446537,0 -121.041521,40.23479,0 -120.890646,40.192117,0 -120.796597,40.301154,0 -120.652158,40.307656,0 -120.209644,40.086008,0 -120.099557,39.91034,0 -120.14715,39.707659,0 -120.001319,39.722421,0 -120.002461,39.06749,0 -120.206613,39.019706,0 -120.06539,38.765651,0 -120.072566,38.447081,0 -119.884749,38.356184,0 -119.705341,38.416037,0 -119.632672,38.198859,0 -119.345923,38.083113,0 -119.196382,37.843728,0 -119.268979,37.739231,0 -119.535699,37.904122,0 -119.80851,37.754926,0 -120.173963,37.799587,0 -120.34521,37.725664,0 -120.312573,37.653668,0 -120.391932,37.68356,0 -120.387655,37.633524,0 -120.98439,37.399366,0 -120.964223,37.345782,0 -121.225231,37.133467,0 -121.399171,37.150223,0 -121.456411,37.251827,0 -121.409076,37.380673,0 -121.556656,37.542733,0 -121.581295,38.093967,0 -121.884464,38.047766,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-121.559133,37.944674,0 -121.5583,37.944734,0 -121.558377,37.945032,0 -121.559133,37.944674,0</coordinates></LinearRing></innerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.012498,38.066735,0 -122.038275,38.080543,0 -122.039539,38.091135,0 -122.001074,38.077853,0 -122.012498,38.066735,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.981374,38.076419,0 -121.990544,38.077396,0 -121.99207,38.080897,0 -121.987416,38.083499,0 -121.981374,38.076419,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.976171,38.071048,0 -121.978948,38.072894,0 -121.977544,38.076015,0 -121.972753,38.07175,0 -121.976171,38.071048,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.914172,38.050175,0 -121.915607,38.070766,0 -121.892983,38.052879,0 -121.898088,38.050388,0 -121.914172,38.050175,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.223137,37.13163,0 -121.222712,37.1305,0 -121.223233,37.131093,0 -121.223137,37.13163,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",92
BALTIMORE,BALTIMORE_MD,512,"Baltimore, MD",38.970081,-76.506469,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.216807,39.719998,0 -75.788359,39.721811,0 -75.701566,38.560736,0 -75.826658,38.479659,0 -75.945951,38.239555,0 -76.017401,38.308158,0 -75.973877,38.365851,0 -76.062653,38.305291,0 -76.049626,38.223219,0 -76.219393,38.392855,0 -76.274495,38.364866,0 -76.335712,38.48234,0 -76.122942,38.528631,0 -76.205418,38.535419,0 -76.148014,38.572357,0 -76.18396,38.589369,0 -76.234695,38.54022,0 -76.237142,38.600536,0 -76.281402,38.53565,0 -76.285845,38.629305,0 -76.023846,38.554117,0 -75.967545,38.586594,0 -75.937239,38.676759,0 -75.997236,38.757119,0 -75.952107,38.673349,0 -76.025364,38.579247,0 -76.147976,38.637552,0 -76.09238,38.688534,0 -76.176178,38.677148,0 -76.072157,38.732218,0 -76.105232,38.771643,0 -76.197459,38.670668,0 -76.241062,38.806674,0 -76.271048,38.708834,0 -76.299171,38.719287,0 -76.265849,38.800084,0 -76.290434,38.813616,0 -76.277799,38.777001,0 -76.34277,38.734131,0 -76.303016,38.826424,0 -76.254761,38.862778,0 -76.169819,38.742767,0 -76.124808,38.79429,0 -76.17678,38.773484,0 -76.189468,38.859254,0 -76.062955,38.885448,0 -76.101201,38.941399,0 -76.163908,38.908165,0 -76.146963,38.943963,0 -76.162413,38.977302,0 -76.174127,38.894353,0 -76.196614,38.884327,0 -76.205259,38.852523,0 -76.198068,38.892707,0 -76.184556,38.900797,0 -76.177131,38.93129,0 -76.20427,38.893866,0 -76.246149,38.969916,0 -76.000427,39.151669,0 -76.061475,39.208537,0 -76.041559,39.17195,0 -76.170398,39.094695,0 -76.121646,39.174983,0 -76.153371,39.128249,0 -76.189413,39.176449,0 -76.228001,39.05358,0 -76.278196,39.151702,0 -76.147015,39.275373,0 -76.186999,39.316318,0 -75.885747,39.358883,0 -76.04154,39.39674,0 -75.861461,39.455424,0 -75.923476,39.485736,0 -75.828936,39.566734,0 -76.003002,39.449179,0 -75.944805,39.593381,0 -76.098389,39.534146,0 -76.133889,39.491101,0 -76.060454,39.450448,0 -76.180123,39.377666,0 -76.226169,39.413638,0 -76.229319,39.350445,0 -76.255057,39.376509,0 -76.219086,39.475514,0 -76.24729,39.463925,0 -76.281778,39.299409,0 -76.316537,39.389582,0 -76.33935,39.389385,0 -76.351722,39.407221,0 -76.358021,39.410534,0 -76.364878,39.41168,0 -76.414064,39.385201,0 -76.339794,39.372563,0 -76.32828,39.334908,0 -76.443525,39.327249,0 -76.406135,39.248927,0 -76.479954,39.322169,0 -76.505189,39.305992,0 -76.40018,39.239007,0 -76.442454,39.195391,0 -76.501248,39.208065,0 -76.464803,39.262397,0 -76.479771,39.27491,0 -76.482997,39.251807,0 -76.519802,39.223097,0 -76.533644,39.266557,0 -76.629825,39.272231,0 -76.560391,39.23495,0 -76.607821,39.18196,0 -76.599687,39.154208,0 -76.550986,39.217508,0 -76.559686,39.143609,0 -76.430382,39.13311,0 -76.421606,39.081321,0 -76.433782,39.058511,0 -76.541479,39.109563,0 -76.531688,39.066238,0 -76.394035,39.011247,0 -76.452959,38.974303,0 -76.547789,39.066025,0 -76.566027,39.06299,0 -76.573736,39.07594,0 -76.619188,39.08101,0 -76.450283,38.941116,0 -76.60549,38.97873,0 -76.587885,38.934813,0 -76.561986,38.952607,0 -76.548263,38.92141,0 -76.528466,38.933001,0 -76.506656,38.895994,0 -76.493187,38.903819,0 -76.550581,38.826015,0 -76.489879,38.838715,0 -76.559037,38.802547,0 -76.528607,38.712763,0 -76.615569,38.720636,0 -76.713402,38.775833,0 -76.704485,38.989553,0 -77.187386,39.340952,0 -77.106831,39.491677,0 -77.311372,39.63952,0 -77.216807,39.719998,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.337195,39.304471,0 -76.355156,39.310789,0 -76.361686,39.326922,0 -76.32758,39.314108,0 -76.337195,39.304471,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.210876,39.008958,0 -76.241585,39.025617,0 -76.220267,39.054046,0 -76.199646,39.012346,0 -76.210876,39.008958,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.366419,38.837685,0 -76.361872,38.939227,0 -76.302662,39.039834,0 -76.250033,38.920977,0 -76.282221,38.962876,0 -76.299961,38.901539,0 -76.294443,38.967083,0 -76.316517,38.975895,0 -76.366419,38.837685,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.505322,38.903313,0 -76.493681,38.910014,0 -76.493775,38.903951,0 -76.505322,38.903313,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.184143,38.865043,0 -76.163925,38.903604,0 -76.104197,38.883542,0 -76.153433,38.892311,0 -76.184143,38.865043,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.340001,38.6705,0 -76.348705,38.692224,0 -76.33908,38.725533,0 -76.322095,38.687011,0 -76.340001,38.6705,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.155367,38.240621,0 -76.173351,38.247037,0 -76.22624,38.309452,0 -76.232281,38.324955,0 -76.233375,38.34337,0 -76.155367,38.240621,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-76.19418,38.315692,0 -76.199067,38.325896,0 -76.178242,38.3355,0 -76.172501,38.32699,0 -76.19418,38.315692,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",186
SAN_FRANCISCO-OAK-SAN_JOSE,SAN_FRANCISCO-OAK-SAN_JOSE_CA,807,"San Francisco-Oak-San Jose, CA",38.44804,-122.615561,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.739062,39.383266,0 -122.757705,39.284948,0 -122.475923,39.172998,0 -122.492035,39.053489,0 -122.340172,38.924247,0 -122.42209,38.900851,0 -122.287999,38.839932,0 -122.168301,38.655297,0 -122.061448,38.328852,0 -122.206406,38.315136,0 -122.215591,38.179349,0 -122.06418,38.118817,0 -122.129041,38.045441,0 -122.406256,38.155651,0 -122.488078,38.108975,0 -122.447069,37.985834,0 -122.530577,37.943542,0 -122.438647,37.882996,0 -122.524961,37.896933,0 -122.471896,37.836482,0 -122.527485,37.815128,0 -122.923238,38.02926,0 -122.928616,38.091007,0 -122.964219,37.990369,0 -123.023605,37.995383,0 -122.948796,38.155034,0 -122.995141,38.240796,0 -122.893915,38.132747,0 -122.834987,38.0823,0 -122.825342,38.091412,0 -123.064834,38.302617,0 -123.131004,38.452485,0 -123.726195,38.9172,0 -123.691321,39.051424,0 -123.827391,39.348078,0 -123.793119,39.687013,0 -124.023224,40.001276,0 -122.934014,39.978131,0 -122.885352,39.580108,0 -122.73564,39.580667,0 -122.739062,39.383266,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.223137,37.13163,0 -121.215407,36.961248,0 -121.48895,36.983149,0 -121.575049,36.894155,0 -122.149648,37.285775,0 -122.15283,37.215382,0 -122.317684,37.186946,0 -122.289331,37.113394,0 -122.337055,37.117487,0 -122.517912,37.524247,0 -122.510892,37.784492,0 -122.400408,37.807307,0 -122.402909,37.635719,0 -122.244723,37.50713,0 -122.217916,37.542553,0 -122.089838,37.443521,0 -121.94417,37.453539,0 -122.105081,37.499083,0 -122.163567,37.675117,0 -122.261192,37.740351,0 -122.20928,37.731493,0 -122.211828,37.758923,0 -122.342558,37.805597,0 -122.309119,37.891614,0 -122.429438,37.964598,0 -122.259632,38.057435,0 -122.149888,38.022154,0 -121.862462,38.06603,0 -121.777249,38.018589,0 -121.582187,38.095137,0 -121.556656,37.542733,0 -121.409076,37.380673,0 -121.456411,37.251827,0 -121.399171,37.150223,0 -121.281915,37.183895,0 -121.223137,37.13163,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-121.717299,37.011589,0 -121.716718,37.012023,0 -121.717742,37.012602,0 -121.717495,37.011682,0 -121.717299,37.011589,0</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-122.246113,37.779017,0 -122.246218,37.782498,0 -122.253213,37.785431,0 -122.251793,37.781636,0 -122.246113,37.779017,0</coordinates></LinearRing></innerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-121.559133,37.944674,0 -121.558377,37.945032,0 -121.5583,37.944734,0 -121.559133,37.944674,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.418791,37.852693,0 -122.440966,37.855158,0 -122.446381,37.861013,0 -122.425021,37.870688,0 -122.418791,37.852693,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.367517,37.80722,0 -122.37908,37.827029,0 -122.373131,37.832739,0 -122.35923,37.815106,0 -122.367517,37.80722,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.421149,37.825008,0 -122.423982,37.826394,0 -122.425625,37.828169,0 -122.420998,37.826639,0 -122.421149,37.825008,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.233425,37.749959,0 -122.281366,37.771228,0 -122.332429,37.782163,0 -122.331196,37.797216,0 -122.233425,37.749959,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.282715,37.764083,0 -122.288859,37.765529,0 -122.286894,37.769504,0 -122.286968,37.765721,0 -122.282715,37.764083,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",116
YUMA-EL_CENTRO,YUMA-EL_CENTRO_CA,771,"Yuma-El Centro, CA",32.751631,-114.719943,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-113.333898,32.504938,0 -113.333768,32.038607,0 -114.813613,32.494277,0 -114.719634,32.718764,0 -116.106181,32.618592,0 -116.085165,33.425933,0 -114.627125,33.433554,0 -114.725282,33.405049,0 -114.731223,33.302434,0 -114.672089,33.258499,0 -114.706488,33.08816,0 -114.601657,33.025441,0 -114.268748,33.029817,0 -114.267816,33.463574,0 -113.958043,33.464655,0 -113.958047,33.377579,0 -113.333921,33.377425,0 -113.333898,32.504938,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18
PALM_SPRINGS,PALM_SPRINGS_CA,804,"Palm Springs, CA",33.72988,-116.235426,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.085165,33.425933,0 -116.592667,33.427213,0 -116.569835,33.561169,0 -116.793481,33.687523,0 -116.685661,33.744838,0 -116.719612,34.033827,0 -116.457933,34.032873,0 -116.458532,33.9753,0 -116.200159,33.860944,0 -116.032093,33.587151,0 -115.67737,33.427352,0 -116.085165,33.425933,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12
HARRISBURG-LNCSTR-LEB-YORK,HARRISBURG-LNCSTR-LEB-YORK_PA,566,"Harrisburg-Lncstr-Leb-York, PA",40.283571,-76.884283,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.702955,40.263683,0 -77.75179,40.378859,0 -77.890789,40.393048,0 -77.841828,40.550035,0 -77.681347,40.72975,0 -77.363491,40.847241,0 -77.354335,40.701866,0 -77.039082,40.679831,0 -76.918931,40.60362,0 -76.701502,40.658105,0 -75.873213,40.137653,0 -75.943551,40.108357,0 -75.987779,39.872256,0 -76.102192,39.724044,0 -77.459426,39.720028,0 -77.453969,39.972674,0 -77.609171,40.232754,0 -77.702955,40.263683,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18
SANTABARBRA-SANMAR-SANLUOB,SANTABARBRA-SANMAR-SANLUOB_CA,855,"SantaBarbra-SanMar-SanLuOb, CA",34.844663,-120.393509,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-120.453609,34.44215,0 -120.650641,34.57726,0 -120.600451,34.70464,0 -120.671933,34.902827,0 -120.647151,35.143647,0 -120.856688,35.205984,0 -120.899726,35.255192,0 -120.863032,35.367678,0 -120.86655,35.311473,0 -120.827258,35.337875,0 -120.888029,35.434296,0 -121.286604,35.664563,0 -121.347321,35.79519,0 -120.194146,35.789204,0 -120.193919,35.614359,0 -120.085922,35.614525,0 -120.086674,35.526554,0 -119.997393,35.439496,0 -119.880046,35.439133,0 -119.80945,35.263584,0 -119.666664,35.262528,0 -119.667057,35.174809,0 -119.553524,35.180022,0 -119.560975,35.087674,0 -119.47272,35.076886,0 -119.476759,34.373445,0 -120.136964,34.473349,0 -120.453609,34.44215,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-119.81794,33.959954,0 -119.919239,34.077167,0 -119.520641,34.034263,0 -119.560052,33.995417,0 -119.81794,33.959954,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-120.359002,34.013953,0 -120.408159,34.031923,0 -120.452374,34.029431,0 -120.368278,34.076466,0 -120.306377,34.028588,0 -120.359002,34.013953,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-120.116271,33.894136,0 -120.180341,33.924676,0 -120.250115,34.002597,0 -120.055108,34.03773,0 -119.979235,33.983355,0 -120.116271,33.894136,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",45
