"ABILENE-SWEETWATER, TX",ABILENE-SWEETWATER
"ALBANY GA, GA",ALBANY_GA
"ALBANY-SCHENECTADY-TROY, MA",ALBANY-SCHENECTADY-TROY
"ALBANY-SCHENECTADY-TROY, NY",ALBANY-SCHENECTADY-TROY
"ALBANY-SCHENECTADY-TROY, VT",ALBANY-SCHENECTADY-TROY
"ALBUQUERQUE-SANTA FE, AZ",ALBUQUERQUE-SANTA_FE
"ALBUQUERQUE-SANTA FE, CO",ALBUQUERQUE-SANTA_FE
"ALBUQUERQUE-SANTA FE, NM",ALBUQUERQUE-SANTA_FE
"ALEXANDRIA LA, LA",ALEXANDRIA_LA
"ALPENA, MI",ALPENA
"AMARILLO, NM",AMARILLO
"AMARILLO, TX",AMARILLO
"ANCHORAGE, AK",ANCHORAGE
"ATLANTA, AL",ATLANTA
"ATLANTA, GA",ATLANTA
"ATLANTA, NC",ATLANTA
"AUGUSTA-AIKEN, GA",AUGUSTA
"AUGUSTA-AIKEN, SC",AUGUSTA
"AUSTIN, TX",AUSTIN
"BAKERSFIELD, CA",BAKERSFIELD
"BALTIMORE, MD",BALTIMORE
"BANGOR, ME",BANGOR
"BATON ROUGE, LA",BATON_ROUGE
"BATON ROUGE, MS",BATON_ROUGE
"BEAUMONT-PORT ARTHUR, TX",BEAUMONT-PORT_ARTHUR
"BEND OR, OR",BEND_OR
"BILLINGS, MT",BILLINGS
"BILLINGS, WY",BILLINGS
"BILOXI-GULFPORT, MS",BILOXI-GULFPORT
"BINGHAMTON, NY",BINGHAMTON
"BIRMINGHAM (ANN AND TUSC), AL",BIRMINGHAM
"BLUEFIELD-BECKLEY-OAK HILL, VA",BLUEFIELD-BECKLEY-OAK_HILL
"BLUEFIELD-BECKLEY-OAK HILL, WV",BLUEFIELD-BECKLEY-OAK_HILL
"BOISE, ID",BOISE
"BOISE, OR",BOISE
"BOSTON (MANCHESTER), MA",BOSTON
"BOSTON (MANCHESTER), NH",BOSTON
"BOSTON (MANCHESTER), VT",BOSTON
"BOWLING GREEN, KY",BOWLING_GREEN
"BUFFALO, NY",BUFFALO
"BUFFALO, PA",BUFFALO
"BURLINGTON-PLATTSBURGH, NH",BURLINGTON-PLATTSBURGH
"BURLINGTON-PLATTSBURGH, NY",BURLINGTON-PLATTSBURGH
